+8.75000E-1	+3.34769E-2
+2.62500E+0	+5.10840E-3
+4.37500E+0	+4.88677E-3
+6.12500E+0	+4.88931E-3
+7.87500E+0	+5.41870E-3
+9.62500E+0	+5.49054E-3
+1.13750E+1	+5.36979E-3
+1.31250E+1	+5.25515E-3
+1.48750E+1	+5.34839E-3
+1.66250E+1	+5.53334E-3
+1.83750E+1	+5.51347E-3
+2.01250E+1	+5.63422E-3
+2.18750E+1	+5.91242E-3
+2.36250E+1	+6.37098E-3
+2.53750E+1	+5.53701E-3
+2.71250E+1	+5.62628E-3
+2.88750E+1	+5.86228E-3
+3.06250E+1	+6.98485E-3
+3.23750E+1	+1.04907E-2
+3.41250E+1	+7.88883E-3
+3.58750E+1	+5.81052E-3
+3.76250E+1	+6.44802E-3
+3.93750E+1	+7.70693E-3
+4.11250E+1	+8.74940E-3
+4.28750E+1	+1.24281E-2
+4.46250E+1	+8.08907E-3
+4.63750E+1	+6.22791E-3
+4.81250E+1	+7.35537E-3
+4.98750E+1	+7.59053E-3
+5.16250E+1	+1.15670E-2
+5.33750E+1	+1.27053E-2
+5.51250E+1	+7.37458E-3
+5.68750E+1	+6.85750E-3
+5.86250E+1	+7.26026E-3
+6.03750E+1	+2.28906E-2
+6.21250E+1	+1.70255E-1
+6.38750E+1	+1.14830E-1
+6.56250E+1	+2.27455E-2
+6.73750E+1	+2.92185E-2
+6.91250E+1	+3.14460E-2
+7.08750E+1	+1.76665E-1
+7.26250E+1	+7.37394E-1
+7.43750E+1	+2.64938E-1
+7.61250E+1	+7.23905E-2
+7.78750E+1	+1.02764E-1
+7.96250E+1	+8.06671E-2
+8.13750E+1	+7.13700E-1
+8.31250E+1	+9.57823E-1
+8.48750E+1	+1.29190E-1
+8.66250E+1	+1.55302E-1
+8.83750E+1	+1.27524E-1
+9.01250E+1	+3.17981E-1
+9.18750E+1	+1.24275E+0
+9.36250E+1	+6.04091E-1
+9.53750E+1	+1.04429E-1
+9.71250E+1	+1.33852E-1
+9.88750E+1	+7.43241E-2
+1.00625E+2	+3.45079E-1
+1.02375E+2	+8.92590E-1
+1.04125E+2	+2.29675E-1
+1.05875E+2	+5.74636E-2
+1.07625E+2	+5.36459E-2
+1.09375E+2	+4.77442E-2
+1.11125E+2	+2.75854E-1
+1.12875E+2	+2.79557E-1
+1.14625E+2	+2.22532E-2
+1.16375E+2	+1.46264E-2
+1.18125E+2	+9.93708E-3
+1.19875E+2	+2.48053E-2
+1.21625E+2	+5.02733E-2
+1.23375E+2	+1.44804E-2
+1.25125E+2	+6.17166E-3
+1.26875E+2	+6.16616E-3
+1.28625E+2	+6.13253E-3
+1.30375E+2	+7.34161E-3
+1.32125E+2	+6.24412E-3
+1.33875E+2	+5.92832E-3
+1.35625E+2	+6.07343E-3
+1.37375E+2	+5.87115E-3
+1.39125E+2	+6.18909E-3
+1.40875E+2	+6.50397E-3
+1.42625E+2	+6.09381E-3
+1.44375E+2	+5.76568E-3
+1.46125E+2	+6.16157E-3
+1.47875E+2	+5.71371E-3
+1.49625E+2	+6.52792E-3
+1.51375E+2	+6.11215E-3
+1.53125E+2	+5.67193E-3
+1.54875E+2	+4.87505E-3
+1.56625E+2	+5.58633E-3
+1.58375E+2	+5.60671E-3
+1.60125E+2	+5.09516E-3
+1.61875E+2	+5.19298E-3
+1.63625E+2	+5.13388E-3
+1.65375E+2	+5.47424E-3
+1.67125E+2	+5.66989E-3
+1.68875E+2	+5.44978E-3
+1.70625E+2	+5.57461E-3
+1.72375E+2	+5.05236E-3
+1.74125E+2	+4.22137E-2
