kot stopinje
-100
-97.5
-95
-92.5
-90
-87.5
-85
-82.5
-80
-77.5
-75
-72.5
-70
-67.5
-65
-62.5
-60
-57.5
-55
-52.5
-50
-47.5
-45
-40
-35
-30
-25
-20
-15
-10
-5
0
5
10
15
20
25
30
35
40
45
47.5
50
52.5
55
57.5
60
62.5
65
67.5
70
72.5
75
77.5
80
82.5
85
87.5
90
92.5
95
97.5
100
