napetsot
0.0033
0.0292
0.1135
0.1643
0.2141
0.2692
0.3128
0.3892
0.4400
0.5043
0.5502
0.5872
0.6071
0.6248
0.6314
0.6451
0.6573
0.6666
0.6880
0.7052
0.7102
0.7276
0.7466
0.7720
0.8090
0.8305
0.8668
0.8884
0.9135
0.9450
0.9705
1.0046
